,date,province,avg_temp,min_temp,max_temp,day_rain,max_wind,avg_wind,avg_humi,day_sun
0,2020-01-20,Busan,5.1,1.6,9.8,0.0,6.1,2.7,45.6,9.2
1,2020-01-20,Chungcheongbuk-do,0.9,-2.9,5.8,0.0,5.6,2.1,63.3,6.5
2,2020-01-20,Chungcheongnam-do,1.5,-1.9,6.5,0.3,5.0,1.7,67.6,3.9
3,2020-01-20,Daegu,4.6,2.4,8.1,0.0,6.4,3.3,44.1,7.2
4,2020-01-20,Daejeon,3.4,-0.9,8.1,0.0,5.5,2.2,57.3,6.9
5,2020-01-20,Gangwon-do,3.7,1.1,7.5,0.0,5.2,3.1,38.8,8.7
6,2020-01-20,Gwangju,4.0,1.2,7.9,0.0,3.3,1.2,63.1,5.4
7,2020-01-20,Gyeonggi-do,1.2,-2.8,5.7,0.0,6.4,2.5,68.5,7.4
8,2020-01-20,Gyeongsangbuk-do,4.7,1.8,8.6,0.0,4.5,2.3,49.6,6.6
9,2020-01-20,Gyeongsangnam-do,4.9,0.4,10.1,0.0,5.9,2.6,51.6,8.6
10,2020-01-20,Incheon,1.2,-2.1,5.1,0.0,8.6,3.8,56.0,9.3
11,2020-01-20,Jeju-do,8.4,7.1,10.9,0.0,6.0,4.6,50.3,3.6
12,2020-01-20,Jeollabuk-do,3.5,-0.3,8.0,0.0,6.6,2.1,61.1,5.0
13,2020-01-20,Jeollanam-do,4.9,2.8,8.8,0.0,10.2,4.2,55.8,8.1
14,2020-01-20,Sejong,2.2,-1.2,7.2,0.0,4.9,1.8,57.9,6.9
15,2020-01-20,Seoul,0.7,-3.3,5.5,0.0,5.7,2.5,46.8,8.7
16,2020-01-20,Ulsan,4.3,-0.5,9.2,0.0,3.6,1.7,48.5,8.8
17,2020-01-21,Busan,5.0,0.1,10.3,0.0,5.9,2.2,47.5,9.8
18,2020-01-21,Chungcheongbuk-do,-2.3,-8.4,5.0,0.0,2.8,0.9,53.9,8.5
19,2020-01-21,Chungcheongnam-do,-1.2,-7.6,5.5,0.0,2.6,0.9,53.3,9.3
20,2020-01-21,Daegu,1.9,-2.0,7.9,0.0,4.7,1.7,36.0,9.4
21,2020-01-21,Daejeon,0.5,-5.3,7.5,0.0,2.5,1.0,45.3,9.3
22,2020-01-21,Gangwon-do,2.8,-1.9,7.8,0.0,3.8,2.3,42.0,9.2
23,2020-01-21,Gwangju,3.6,-2.2,10.7,0.0,4.4,1.9,38.8,9.2
24,2020-01-21,Gyeonggi-do,-0.7,-5.9,5.4,0.0,2.7,1.0,61.4,9.3
